Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0,0,0,0,4.5635,0.028098,7.1725E-20,-7.933E-17,0.037678,1.8054E-19,0.016948,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip2thigh_lf,6.1801E-18,-0.061407,-0.00575,0,0,0,0.06,0.00015591,2.9461E-21,-9.3505E-21,1.1351E-05,-7.8953E-19,0.00016594,0,0,0,0,0,0,package://robot/meshes/hip2thigh_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot/meshes/hip2thigh_lf.STL,,thigh_f-1,Origin_hip_lf,基准轴11,hip_lf,continuous,0.042425,0.157,0,1.5708,-1.5708,0,base_link,0,0,-1,,,,,,,,,,,,
thigh2leg_lf,0,-0.10565,-0.00575,0,0,0,0.0763,0.00043722,1.6941E-21,1.9507E-20,7.4436E-06,1.4601E-18,0.00044298,0,0,0,0,0,0,package://robot/meshes/thigh2leg_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot/meshes/thigh2leg_lf.STL,,leg_f-1,Origin_knee_lf,基准轴10,knee_lf,continuous,0,-0.14,-0.0115,0,0,-2.4675,hip2thigh_lf,0,0,1,,,,,,,,,,,,
leg2wheel_lf,6.4185E-17,-8.3267E-17,0.02075,0,0,0,0.52195,0.00044145,-1.6941E-21,2.0747E-18,0.00044145,-3.3823E-20,0.00073308,0,0,0,0,0,0,package://robot/meshes/leg2wheel_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot/meshes/leg2wheel_lf.STL,,wheel-1,Origin_foot_lf,基准轴7,foot_lf,continuous,0,-0.24,0,0,0,0.82738,thigh2leg_lf,0,0,1,,,,,,,,,,,,
hip2thigh_lb,-2.22041654777272E-18,-0.061407466158819,-0.0057500000000007,0,0,0,0.0539995474696858,0.000140314771946862,-7.43235680079296E-21,6.14097015851312E-21,1.02160131007346E-05,6.95243980379891E-19,0.000149340545022119,0,0,0,0,0,0,package://robot/meshes/hip2thigh_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/hip2thigh_lb.STL,,thigh_b-1,Origin_hip_lb,基准轴12,hip_lb,continuous,-0.052575,0.127,0,1.5708,1.5708,0,base_link,0,0,-1,,,,,,,,,,,,
thigh2leg_lb,2.77555756156289E-17,-0.126725289376484,0.00574999999999845,0,0,0,0.0750000161747868,0.000553987900915235,-5.84452733605467E-20,1.65199332220617E-20,9.43756802822454E-06,-3.30067461314353E-18,0.00056177234358694,0,0,0,0,0,0,package://robot/meshes/thigh2leg_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/thigh2leg_lb.STL,,leg_b-1,Origin_knee_lb,基准轴9,knee_lb,continuous,0,-0.14,0,0,0,2.46746214692248,hip2thigh_lb,0,0,1,,,,,,,,,,,,
leg2wheel_lb,-1.15359111152458E-16,-5.55111512312578E-17,-0.0207500000000007,0,0,0,0.521949966745835,0.000441450058332931,-1.6940658945086E-21,2.07466425242616E-18,0.000441450058332931,-3.38231691806901E-20,0.000733078728294525,0,0,0,0,0,0,package://robot/meshes/leg2wheel_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/leg2wheel_lb.STL,,wheel-1,Origin_foot_lb,基准轴8,foot_lb,continuous,0,-0.24,0,0,0,-0.965954301349358,thigh2leg_lb,0,0,1,,,,,,,,,,,,
hip2thigh_rf,3.85525815338172E-18,-0.061407466158819,0.00575000000000089,0,0,0,0.0599999613849593,0.000155906508351339,9.73323749888728E-21,3.73574741794094E-24,1.13512134874171E-05,-1.08504933903155E-18,0.000165935222689896,0,0,0,0,0,0,package://robot/meshes/hip2thigh_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/hip2thigh_rf.STL,,thigh_f-3,Origin_hip_rf,基准轴6,hip_rf,continuous,0.042425,-0.157,0,1.5708,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_rf,4.16333634234434E-17,-0.105647585166419,0.00575000000000225,0,0,0,0.0763000411167858,0.000437218386664754,-5.84452733605467E-20,2.47571227334978E-20,7.44363321133752E-06,2.37301864809742E-18,0.000442980239803142,0,0,0,0,0,0,package://robot/meshes/thigh2leg_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/thigh2leg_rf.STL,,leg_f-2,Origin_knee_rf,基准轴3,knee_rf,continuous,0,-0.14,0.0114999999999986,0,0,-2.46746214692248,hip2thigh_rf,0,0,1,,,,,,,,,,,,
leg2wheel_rf,5.55111512312578E-17,-1.2490009027033E-16,-0.0207499999999983,0,0,0,0.521949966745835,0.00044145005833293,-6.7762635780344E-20,-9.00265480038554E-19,0.00044145005833293,1.86202171434693E-18,0.000733078728294525,0,0,0,0,0,0,package://robot/meshes/leg2wheel_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/leg2wheel_rf.STL,,wheel-2,Origin_foot_rf,基准轴1,foot_rf,continuous,0,-0.24,0,0,0,-1.15869988791543,thigh2leg_rf,0,0,1,,,,,,,,,,,,
hip2thigh_rb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://robot/meshes/hip2thigh_rb.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/hip2thigh_rb.STL,,thigh_b-2,Origin_hip_rb,基准轴5,hip_rb,continuous,-0.0525752889605738,-0.126999999999999,0,1.5707963267949,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_rb,1.38777878078145E-17,-0.126725289376484,-0.00574999999999939,0,0,0,0.0750000161747868,0.000553987900915235,4.61632956253594E-20,3.55050933537804E-20,9.43756802822455E-06,-3.08532215205517E-18,0.00056177234358694,0,0,0,0,0,0,package://robot/meshes/thigh2leg_rb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/thigh2leg_rb.STL,,leg_b-2,Origin_knee_rb,基准轴4,knee_rb,continuous,0,-0.14,0,0,0,2.46746214692248,hip2thigh_rb,0,0,1,,,,,,,,,,,,
leg2wheel_rb,-8.32667268468867E-17,1.2490009027033E-16,0.020750000000001,0,0,0,0.521949966745835,0.00044145005833293,-6.7762635780344E-20,-9.00265480038554E-19,0.00044145005833293,1.86202171434693E-18,0.000733078728294525,0,0,0,0,0,0,package://robot/meshes/leg2wheel_rb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/leg2wheel_rb.STL,,wheel-2,Origin_foot_rb,基准轴2,foot_rb,continuous,0,-0.24,0,0,0,-2.95203152817059,thigh2leg_rb,0,0,1,,,,,,,,,,,,
