Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0,0,0,0,0,0,4.5635,0.028108,2.7965E-18,-3.8467E-05,0.016957,0.00023328,0.037678,0,0,0,0,0,0,package://robot1/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot1/meshes/body.STL,,机身-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thigh_lf,-0.00586303520723864,-0.0654186028554409,-0.30825,0,0,0,0.0599999613849592,0.000155906508351339,3.87736954528105E-20,-1.90128589635462E-23,1.13512134874171E-05,-9.10641025502815E-22,0.000165935222689896,0,0,0,0,0,0,package://robot1/meshes/thigh_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/thigh_lf.STL,,大腿-1,Origin_hip_lf,hip_lf,hip_lf,continuous,-0.0384135743428033,-0.471,-0.00659099716673616,1.5707963267949,1.5707963267949,0,body,0,0,1,,,,,,,,,,,,
leg_lf,0.00211202615688288,-0.0988649791073192,-0.30825,0,0,0,0.0763000411167858,0.000437218386664754,-4.85349878776714E-19,-1.49816179484339E-22,7.44363321133755E-06,1.70699002097028E-21,0.000442980239803142,0,0,0,0,0,0,package://robot1/meshes/leg_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/leg_lf.STL,,前小腿-2,Origin_knee_lf,knee_lf,knee_lf,continuous,0,-0.14,0.0114999999999997,0,0,2.47267049724596,thigh_lf,0,0,1,,,,,,,,,,,,
wheel_lf,-0.00401113669662187,0.00586303520723827,-0.33475,0,0,0,0.521949966745835,0.000441450058332931,8.13744374287306E-52,6.67984372830051E-21,0.000441450058332931,-1.10926466622093E-36,0.000733078728294526,0,0,0,0,0,0,package://robot1/meshes/wheel_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/wheel_lf.STL,,轮-2,Origin_wheel_lf,wheel_lf,wheel_lf,continuous,0,-0.24,0,0,0,-0.901874170451062,leg_lf,0,0,1,,,,,,,,,,,,
thigh_lb,0.00586303520723865,-0.057396329462197,-0.30825,0,0,0,0.0599999613849592,0.000155906508351339,1.87852681441717E-20,-2.96334987478447E-22,1.13512134874171E-05,-1.06353209176921E-21,0.000165935222689896,0,0,0,0,0,0,package://robot1/meshes/thigh_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/thigh_lb.STL,,大腿-2,Origin_hip_lb,hip_lb,hip_lb,continuous,0.0565864256571967,-0.441,-0.00464417311367557,1.5707963267949,-1.5707963267949,0,body,0,0,1,,,,,,,,,,,,
leg_lb,-0.00708150376026509,-0.126162524831,-0.31975,0,0,0,0.0750000161747868,0.000553987900915235,1.52211820621598E-18,-1.21187332340127E-21,9.4375680282246E-06,1.00712625877349E-21,0.00056177234358694,0,0,0,0,0,0,package://robot1/meshes/leg_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/leg_lb.STL,,后小腿-2,Origin_knee_lb,knee_lb,knee_lb,continuous,0,-0.14,0,0,0,-2.46228752890953,thigh_lb,0,0,1,,,,,,,,,,,,
wheel_lb,-0.00401113669662182,0.00586303520723822,-0.29325,0,0,0,0.521949966745835,0.000441450058332931,8.13744374287306E-52,6.67984372830051E-21,0.000441450058332931,-1.10926466622093E-36,0.000733078728294526,0,0,0,0,0,0,package://robot1/meshes/wheel_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/wheel_lb.STL,,轮-2,Origin_wheel_lb,wheel_lb,wheel_lb,continuous,0,-0.24,0,0,0,0.89149120211463,leg_lb,0,0,1,,,,,,,,,,,,
thigh_rf,-0.0058630352072386,-0.0654186028554409,-0.30825,0,0,0,0.0599999613849592,0.000155906508351339,7.92675361493047E-20,9.30530125579661E-21,1.13512134874171E-05,1.12065382559575E-20,0.000165935222689896,0,0,0,0,0,0,package://robot1/meshes/thigh_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/thigh_rf.STL,,大腿-4,Origin_hip_rf,hip_rf,hip_rf,continuous,-0.0384135743428034,-0.1455,-0.0104805682225147,1.5707963267949,1.5707963267949,0,body,0,0,-1,,,,,,,,,,,,
leg_rf,0.00210380032328554,-0.0988624231462427,-0.31975,0,0,0,0.0763000411167858,0.000437218386664754,7.34801081743106E-20,2.62112134099704E-22,7.44363321133753E-06,-4.03252599887136E-19,0.000442980239803142,0,0,0,0,0,0,package://robot1/meshes/leg_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/leg_rf.STL,,前小腿-1,Origin_knee_rf,knee_rf,knee_rf,continuous,0,-0.14,0,0,0,2.47145794223449,thigh_rf,0,0,1,,,,,,,,,,,,
wheel_rf,-0.00150763839127389,0.00694200445991389,-0.29325,0,0,0,0.521949966745835,0.000441450058332931,-1.35525271560688E-20,-2.0780683497093E-20,0.000441450058332931,-9.45710654026833E-21,0.000733078728294526,0,0,0,0,0,0,package://robot1/meshes/wheel_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot1/meshes/wheel_rf.STL,,轮-1,Origin_wheel_rf,wheel_rf,wheel_rf,continuous,0,-0.24,0,0,0,-0.514514776009117,leg_rf,0,0,1,,,,,,,,,,,,
