Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0040111,-0.005863,0.314,0,0,0,4.5635,0.028108,-3.8467E-05,-2.9584E-18,0.037678,-0.00023328,0.016957,0,0,0,0,0,0,package://整机1/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/body.STL,,机身-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thigh_lf,-7.7195E-17,-0.061407,0.00575,0,0,0,0.06,0.00015591,8.5854E-21,-1.2036E-22,1.1351E-05,-4.999E-22,0.00016594,0,0,0,0,0,0,package://整机1/meshes/thigh_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/thigh_lf.STL,,大腿-1,Origin_hip_lf,hip_lf,hip_lf,continuous,-0.038414,-0.471,-0.006591,1.5708,1.5708,0,body,0,0,1,,,,,,,,,,,,
leg_lf,0,-0.10565,0.00575,0,0,0,0.0763,0.00043722,8.4703E-21,-6.7631E-22,7.4436E-06,-1.4642E-21,0.00044298,0,0,0,0,0,0,package://整机1/meshes/leg_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/leg_lf.STL,,前小腿-2,Origin_knee_lf,knee_lf,knee_lf,continuous,0,-0.14,0.0115,0,0,2.4727,thigh_lf,0,0,1,,,,,,,,,,,,
wheel_lf,-2.7756E-17,2.7756E-17,-0.02075,0,0,0,0.52195,0.00044145,0,0,0.00044145,-1.1093E-36,0.00073308,0,0,0,0,0,0,package://整机1/meshes/wheel_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/wheel_lf.STL,,轮-2,Origin_wheel_lf,wheel_lf,wheel_lf,continuous,0,-0.24,0,0,0,-0.90187,leg_lf,0,0,1,,,,,,,,,,,,
thigh_lb,-1.301E-17,-0.061407,0.00575,0,0,0,0.06,0.00015591,3.4782E-21,-7.1176E-24,1.1351E-05,5.4772E-22,0.00016594,0,0,0,0,0,0,package://整机1/meshes/thigh_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/thigh_lb.STL,,大腿-2,Origin_hip_lb,hip_lb,hip_lb,continuous,0.056586,-0.441,-0.0046442,1.5708,-1.5708,0,body,0,0,1,,,,,,,,,,,,
leg_lb,1.6653E-16,-0.12673,-0.00575,0,0,0,0.075,0.00055399,1.7745E-19,-1.838E-21,9.4376E-06,1.0739E-21,0.00056177,0,0,0,0,0,0,package://整机1/meshes/leg_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/leg_lb.STL,,后小腿-2,Origin_knee_lb,knee_lb,knee_lb,continuous,0,-0.14,0,0,0,-2.4623,thigh_lb,0,0,1,,,,,,,,,,,,
wheel_lb,2.7756E-17,-2.7756E-17,0.02075,0,0,0,0.52195,0.00044145,0,0,0.00044145,-1.1093E-36,0.00073308,0,0,0,0,0,0,package://整机1/meshes/wheel_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/wheel_lb.STL,,轮-2,Origin_wheel_lb,wheel_lb,wheel_lb,continuous,0,-0.24,0,0,0,0.89149,leg_lb,0,0,1,,,,,,,,,,,,
thigh_rf,2.2551E-17,-0.061407,0.00575,0,0,0,0.06,0.00015591,7.2401E-20,1.01E-20,1.1351E-05,-2.7928E-22,0.00016594,0,0,0,0,0,0,package://整机1/meshes/thigh_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/thigh_rf.STL,,大腿-4,Origin_hip_rf,hip_rf,hip_rf,continuous,-0.038414,-0.1455,-0.010481,1.5708,1.5708,0,body,0,0,-1,,,,,,,,,,,,
leg_rf,-5.5511E-17,-0.10565,-0.00575,0,0,0,0.0763,0.00043722,-4.6163E-20,3.4454E-22,7.4436E-06,-4.1878E-19,0.00044298,0,0,0,0,0,0,package://整机1/meshes/leg_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/leg_rf.STL,,前小腿-1,Origin_knee_rf,knee_rf,knee_rf,continuous,0,-0.14,0,0,0,2.4715,thigh_rf,0,0,1,,,,,,,,,,,,
wheel_rf,4.1633E-17,0,0.02075,0,0,0,0.52195,0.00044145,-2.7105E-20,-2.0781E-20,0.00044145,-9.4571E-21,0.00073308,0,0,0,0,0,0,package://整机1/meshes/wheel_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://整机1/meshes/wheel_rf.STL,,轮-1,Origin_wheel_rf,wheel_rf,wheel_rf,continuous,0,-0.24,0,0,0,-0.51451,leg_rf,0,0,1,,,,,,,,,,,,
