Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.26897419825618E-18,3.64890254428675E-18,-2.4772664067657E-18,0,0,0,4.563502045004,0.0280984473320404,7.92285736359658E-17,4.9277286577983E-20,0.0169477927066625,1.08880015646914E-18,0.0376783082336192,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip2thigh_lf,6.17638775413905E-18,-0.0614074661588189,-0.00575000000000156,0,0,0,0.0599999613849592,0.000155906508351339,2.94476214864048E-21,-9.35046804636312E-21,1.13512134874171E-05,-7.895302478684E-19,0.000165935222689896,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_lf.STL,,thigh_f-1,Origin_hip_lf,Axis_hip_lf,hip_lf,continuous,0.0424247110394242,0.156999999999999,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_lf,0,-0.10564758516642,-0.00575000000000064,0,0,0,0.0763000411167859,0.000437218386664755,3.9387032047325E-20,1.95072209959967E-20,7.44363321133751E-06,1.46010727006436E-18,0.000442980239803143,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_lf.STL,,leg_f-1,Origin_knee_lf,Axis_knee_lf,knee_lf,continuous,0,-0.14,-0.011500000000001,0,0,-2.46746214692248,hip2thigh_lf,0,0,1,,,,,,,,,,,,
leg2wheel_lf,6.41847686111419E-17,-8.32667268468867E-17,0.0207499999999986,0,0,0,0.521949966745835,0.000441450058332931,-5.0821976835258E-21,2.07466425242616E-18,0.000441450058332931,-3.38231691806901E-20,0.000733078728294525,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_lf.STL,,wheel-1,Origin_foot_lf,Axis_foot_lf,foot_lf,continuous,0,-0.24,0,0,0,0.827377338905804,thigh2leg_lf,0,0,1,,,,,,,,,,,,
hip2thigh_lb,-2.49919468130297E-18,-0.061407466158819,-0.0057500000000007,0,0,0,0.0539995474696858,0.000140314771946862,-7.37238832554498E-21,6.14097015851312E-21,1.02160131007346E-05,6.95261465638179E-19,0.000149340545022119,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_lb.STL,,thigh_b-1,Origin_hip_lb,Axis_hip_lb,hip_lb,continuous,-0.0525752889605756,0.126999999999999,0,1.5707963267949,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_lb,2.77555756156289E-17,-0.126725289376484,0.00574999999999845,0,0,0,0.0750000161747868,0.000553987900915235,-6.69156028330897E-20,1.65162413828475E-20,9.43756802822456E-06,-3.30067017119004E-18,0.00056177234358694,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_lb.STL,,leg_b-1,Origin_knee_lb,Axis_knee_lb,knee_lb,continuous,0,-0.14,0,0,0,2.46746214692248,hip2thigh_lb,0,0,1,,,,,,,,,,,,
leg2wheel_lb,-1.15359111152458E-16,-5.55111512312578E-17,-0.0207500000000007,0,0,0,0.521949966745835,0.000441450058332931,-6.7762635780344E-21,2.07466425242616E-18,0.000441450058332931,-3.38231691806901E-20,0.000733078728294525,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_lb.STL,,wheel-1,Origin_foot_lb,Axis_foot_lb,foot_lb,continuous,0,-0.24,0,0,0,-0.965954301349358,thigh2leg_lb,0,0,1,,,,,,,,,,,,
hip2thigh_rf,3.85525815338172E-18,-0.061407466158819,0.00575000000000089,0,0,0,0.0599999613849593,0.000155906508351339,9.7737052169007E-21,3.73574741794125E-24,1.13512134874171E-05,-1.08504933903155E-18,0.000165935222689896,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_rf.STL,,thigh_f-3,Origin_hip_rf,Axis_hip_rf,hip_rf,continuous,0.0424247110394264,-0.156999999999998,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_rf,2.77555756156289E-17,-0.10564758516642,0.00575000000000223,0,0,0,0.0763000411167858,0.000437218386664754,-3.64224167319349E-20,2.47536067446951E-20,7.44363321133754E-06,2.37295512587168E-18,0.000442980239803142,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_rf.STL,,leg_f-2,Origin_knee_rf,Axis_knee_rf,knee_rf,continuous,0,-0.14,0.0114999999999986,0,0,-2.46746214692248,hip2thigh_rf,0,0,1,,,,,,,,,,,,
leg2wheel_rf,5.55111512312578E-17,-1.2490009027033E-16,-0.0207499999999983,0,0,0,0.521949966745835,0.00044145005833293,-6.7762635780344E-20,-9.00265480038554E-19,0.00044145005833293,1.86202171434693E-18,0.000733078728294525,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_rf.STL,,wheel-2,Origin_foot_rf,Axis_foot_rf,foot_rf,continuous,0,-0.24,0,0,0,-1.15869988791543,thigh2leg_rf,0,0,1,,,,,,,,,,,,
hip2thigh_rb,2.52390274270346E-18,-0.0614074661588188,0.0057500000000017,0,0,0,0.0539995474696858,0.000140314771946862,8.82382472227809E-21,-8.22543354868638E-23,1.02160131007346E-05,9.67149836408586E-19,0.000149340545022119,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_rb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/hip2thigh_rb.STL,,thigh_b-2,Origin_hip_rb,Axis_hip_rb,hip_rb,continuous,-0.0525752889605738,-0.126999999999999,0,1.5707963267949,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_rb,1.38777878078145E-17,-0.126725289376484,-0.00574999999999939,0,0,0,0.0750000161747868,0.000553987900915235,5.88687898341739E-20,3.55063939914085E-20,9.4375680282246E-06,-3.08532383538705E-18,0.00056177234358694,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_rb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/thigh2leg_rb.STL,,leg_b-2,Origin_knee_rb,Axis_knee_rb,knee_rb,continuous,0,-0.14,0,0,0,2.46746214692248,hip2thigh_rb,0,0,1,,,,,,,,,,,,
leg2wheel_rb,-8.32667268468867E-17,1.2490009027033E-16,0.020750000000001,0,0,0,0.521949966745835,0.00044145005833293,-6.7762635780344E-20,-9.00265480038554E-19,0.00044145005833293,1.86202171434693E-18,0.000733078728294525,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_rb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/leg2wheel_rb.STL,,wheel-2,Origin_foot_rb,Axis_foot_rb,foot_rb,continuous,0,-0.24,0,0,0,-2.95203152817059,thigh2leg_rb,0,0,1,,,,,,,,,,,,
r0,-0.014297,-0.0255,-1.8041E-16,0,0,0,0.032137,1.1799E-05,7.3681E-20,5.2724E-23,2.2374E-05,-2.3323E-21,1.7011E-05,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/r0.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/r0.STL,,s_robot_arm-1/s_frame-1,Origin_r0,r0,r0,continuous,0.15092,-0.0935,-0.0958,3.1416,0,0,base_link,1,0,0,,,,,,,,,,,,
r1,0.053294,0.0073283,1.3878E-17,0,0,0,0.232,2.796E-05,2.0282E-05,-3.5676E-20,0.00041328,1.3707E-21,0.00039365,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/r1.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/r1.STL,,s_robot_arm-1/s_bigarm-1,Origin_r1,r1,r1,continuous,0,0,0,3.1416,0,0,r0,0,1,0,,,,,,,,,,,,
r2,0.037121,0.013604,0,0,0,0,0.252,2.669E-05,3.4523E-05,6.7513E-21,0.00024862,-4.3417E-21,0.00025306,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/r2.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/r2.STL,,s_robot_arm-1/s_smallarm-2,Origin_r2,r2,r2,continuous,0.149999999999999,0.0506800000000009,0,0,0,3.14159265358979,r1,0,1,0,,,,,,,,,,,,
l0,0.014297,-0.0255,1.249E-16,0,0,0,0.032137,1.1799E-05,7.4538E-20,-7.3014E-21,2.2374E-05,1.2061E-21,1.7011E-05,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/l0.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/l0.STL,,s_robot_arm-1/s_frame-2,Origin_l0,l0,l0,continuous,0.15092,0.0935,-0.0958,-3.1416,0,3.1416,base_link,-1,0,0,,,,,,,,,,,,
l1,0.053294,0.0073283,1.3878E-17,0,0,0,0.232,2.796E-05,2.0282E-05,-3.6862E-20,0.00041328,1.9362E-21,0.00039365,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/l1.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/l1.STL,,s_robot_arm-1/s_bigarm-2,Origin_l1,l1,l1,continuous,0,0,0,0,0,3.14159265358979,l0,0,1,0,,,,,,,,,,,,
l2,0.037121,0.013604,0,0,0,0,0.252,2.669E-05,3.4523E-05,5.8357E-21,0.00024862,-3.2257E-21,0.00025306,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/l2.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/l2.STL,,s_robot_arm-1/s_smallarm-1,Origin_l2,l2,l2,continuous,0.15,0.0506799999999989,0,0,0,3.14159265358979,l1,0,1,0,,,,,,,,,,,,
armbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/armbase.STL,1,1,1,1,0,0,0,0,0,0,package://Manipulator_Vlink2/meshes/armbase.STL,,s_robot_arm-1/arm_base-1,Origin_nonono,Axis_nonono,nonono,fixed,0.125574711039425,0,-0.0525,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
