Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.9958716180818E-18,3.64890254428671E-18,-3.02970844583317E-18,0,0,0,4.563502045004,0.0280984473320404,7.92687311370769E-17,2.14694526373619E-20,0.0169477927066625,1.08880015646914E-18,0.0376783082336192,0,0,0,0,0,0,package://fuzhulun/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip2thigh_lf,6.24976908737392E-18,-0.0614074661588189,-0.00575000000000156,0,0,0,0.0599999613849592,0.000155906508351339,2.92696874835396E-21,-9.35046804636312E-21,1.13512134874171E-05,-7.89521073851116E-19,0.000165935222689896,0,0,0,0,0,0,package://fuzhulun/meshes/hip2thigh_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/hip2thigh_lf.STL,,thigh_f-1,Origin_hip_lf,Axis_hip_lf,hip_lf,continuous,0.0424247110394242,0.156999999999999,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_lf,0,-0.10564758516642,-0.00575000000000064,0,0,0,0.0763000411167859,0.000437218386664755,1.6940658945086E-21,1.95072209959967E-20,7.44363321133753E-06,1.46010727006436E-18,0.000442980239803143,0,0,0,0,0,0,package://fuzhulun/meshes/thigh2leg_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/thigh2leg_lf.STL,,leg_f-1,Origin_knee_lf,Axis_knee_lf,knee_lf,continuous,0,-0.14,-0.011500000000001,0,0,-2.46746214692248,hip2thigh_lf,0,0,1,,,,,,,,,,,,
leg2wheel_lf,6.41847686111419E-17,-8.32667268468867E-17,0.0207499999999986,0,0,0,0.521949966745835,0.000441450058332931,-1.6940658945086E-21,2.07466425242616E-18,0.000441450058332931,-3.38231691806901E-20,0.000733078728294525,0,0,0,0,0,0,package://fuzhulun/meshes/leg2wheel_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/leg2wheel_lf.STL,,wheel-1,Origin_foot_lf,Axis_foot_lf,foot_lf,continuous,0,-0.24,0,0,0,0.827377338905804,thigh2leg_lf,0,0,1,,,,,,,,,,,,
fuzhu_lf,-2.77555756156289E-17,-0.00500000000000037,-4.98255987470369E-18,0,0,0,0.0502654824574367,2.05250720034533E-05,9.8478934528487E-20,-1.40981284252305E-35,4.02123859659494E-05,1.03737707309376E-21,2.05250720034533E-05,0,0,0,0,0,0,package://fuzhulun/meshes/fuzhu_lf.STL,1,1,1,1,0,0,0,0,0,0,package://fuzhulun/meshes/fuzhu_lf.STL,,fuzhulun-3,Origin_fuzhu_lf,Axis_knee_lf,fuzhu_lf,continuous,0,-0.14,-0.0230000000000016,1.5707963267949,0,-1.5707963267949,hip2thigh_lf,0,1,0,,,,,,,,,,,,
hip2thigh_lb,-2.49021734345051E-18,-0.061407466158819,-0.0057500000000007,0,0,0,0.0539995474696858,0.000140314771946862,-7.37238832554498E-21,6.14097015851312E-21,1.02160131007346E-05,6.95254959420047E-19,0.000149340545022119,0,0,0,0,0,0,package://fuzhulun/meshes/hip2thigh_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/hip2thigh_lb.STL,,thigh_b-1,Origin_hip_lb,Axis_hip_lb,hip_lb,continuous,-0.0525752889605756,0.126999999999999,0,1.5707963267949,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
thigh2leg_lb,2.77555756156289E-17,-0.126725289376484,0.00574999999999845,0,0,0,0.0750000161747868,0.000553987900915235,-6.69156028330897E-20,1.65224254282299E-20,9.43756802822456E-06,-3.30067795311841E-18,0.00056177234358694,0,0,0,0,0,0,package://fuzhulun/meshes/thigh2leg_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/thigh2leg_lb.STL,,leg_b-1,Origin_knee_lb,Axis_knee_lb,knee_lb,continuous,0,-0.14,0,0,0,2.46746214692248,hip2thigh_lb,0,0,1,,,,,,,,,,,,
leg2wheel_lb,-1.15359111152458E-16,-5.55111512312578E-17,-0.0207500000000007,0,0,0,0.521949966745835,0.000441450058332931,-1.6940658945086E-21,2.07466425242616E-18,0.000441450058332931,-3.38231691806901E-20,0.000733078728294525,0,0,0,0,0,0,package://fuzhulun/meshes/leg2wheel_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/leg2wheel_lb.STL,,wheel-1,Origin_foot_lb,Axis_foot_lb,foot_lb,continuous,0,-0.24,0,0,0,-0.965954301349358,thigh2leg_lb,0,0,1,,,,,,,,,,,,
fuzhu_lb,0,-0.00500000000000037,-9.42649753526637E-18,0,0,0,0.0502654824574367,2.05250720034533E-05,9.73487745361297E-20,-8.7119466438191E-36,4.02123859659494E-05,5.77840026526481E-22,2.05250720034533E-05,0,0,0,0,0,0,package://fuzhulun/meshes/fuzhu_lb.STL,1,1,1,1,0,0,0,0,0,0,package://fuzhulun/meshes/fuzhu_lb.STL,,fuzhulun-4,Origin_fuzhu_lb,Axis_knee_lb,fuzhu_lb,continuous,0,-0.14,-0.0114999999999999,1.5707963267949,0,1.5707963267949,hip2thigh_lb,0,1,0,,,,,,,,,,,,
hip2thigh_rf,3.75999866151112E-18,-0.061407466158819,0.00575000000000089,0,0,0,0.0599999613849593,0.000155906508351339,9.66236293584646E-21,3.73574741794009E-24,1.13512134874171E-05,-1.08505463679496E-18,0.000165935222689896,0,0,0,0,0,0,package://fuzhulun/meshes/hip2thigh_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fuzhulun/meshes/hip2thigh_rf.STL,,thigh_f-3,Origin_hip_rf,Axis_hip_rf,hip_rf,continuous,0.0424247110394264,-0.156999999999998,0,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
